hardware alarms,cpu errors,low voltage,overheating alarm,fan degradaded,baseband processing fault,synchronization failure,low disk performace,tlpm,tlcm,number of PM,priority,other alarms,failure
0,0,2,1,1,0,0,0,261,131,1,3,0,1
1,0,1,1,1,0,0,1,100,203,3,3,0,1
0,0,0,1,0,0,0,0,18,296,4,4,0,0
0,0,1,2,2,0,0,0,166,90,2,3,0,1
2,0,2,3,3,3,0,0,341,33,1,2,0,6
2,0,1,2,1,2,0,0,26,142,2,3,0,4
0,0,1,1,1,0,1,0,127,108,2,1,0,1
1,0,1,0,0,0,1,0,233,85,1,1,3,2
0,0,1,4,2,0,0,0,96,90,2,3,0,1
1,0,1,0,0,1,0,0,92,108,3,3,0,1
0,0,1,3,3,0,0,0,52,167,2,4,0,1
2,0,2,0,0,1,0,0,51,137,3,4,0,2
0,0,1,1,1,0,0,0,173,123,2,3,0,0
3,0,2,2,2,0,0,0,85,90,1,1,1,3
0,0,2,3,3,2,0,1,106,137,1,2,2,4
0,0,1,0,0,0,0,0,19,248,4,4,0,0
1,0,0,1,1,0,0,0,153,157,2,3,0,0
0,1,1,1,1,0,0,0,75,85,2,2,0,0
0,0,2,0,0,2,0,2,102,108,3,2,0,3
1,0,2,0,0,0,0,0,227,91,1,2,0,1
2,0,1,0,0,1,0,0,299,166,1,1,0,2
0,0,2,3,3,0,0,0,282,91,1,1,0,2
0,0,0,1,1,0,0,0,49,141,3,4,0,0
0,0,1,1,0,2,1,0,22,126,2,3,0,2
1,0,2,4,2,0,0,0,143,99,1,1,0,2
2,0,4,2,2,2,0,0,321,34,1,2,0,5
0,0,2,2,2,0,0,0,125,244,2,1,1,1
2,0,3,2,2,0,0,0,191,25,1,2,0,2
1,0,2,0,0,0,0,0,35,126,3,3,0,1
3,0,4,0,0,0,0,0,78,43,1,3,0,2
1,0,1,2,2,0,0,0,148,193,1,2,0,1
1,0,4,4,3,0,0,0,61,167,1,2,0,3
2,0,1,1,1,0,0,0,159,105,2,3,0,1
0,0,0,1,0,0,0,0,81,249,3,4,0,0
1,0,1,0,0,0,0,0,73,204,3,2,0,0
1,0,1,5,3,0,0,0,216,97,1,1,0,2
1,1,1,4,2,0,0,0,45,100,1,1,0,2
3,0,2,5,3,0,0,0,197,71,1,1,0,4
1,0,1,4,3,0,0,0,47,174,4,4,0,2
2,0,4,0,0,0,0,0,165,90,2,3,0,2
0,0,1,0,0,1,0,0,66,173,3,4,0,1
0,0,0,1,1,0,0,0,322,173,1,1,0,0
0,0,3,5,3,0,0,0,74,64,1,2,0,3
1,0,4,0,0,0,0,0,29,145,2,3,0,1
0,0,1,0,0,0,0,0,46,56,4,4,0,0
1,0,1,1,0,0,0,0,90,146,3,2,0,1
1,0,1,4,3,2,0,1,174,36,1,1,0,4
0,0,0,1,1,0,0,0,29,237,4,4,0,0
0,0,3,3,2,0,0,0,173,155,2,2,0,2
1,0,2,1,1,0,0,0,116,178,3,3,0,1
1,0,3,0,0,0,0,0,119,184,1,1,2,2
2,0,0,2,2,0,0,0,167,329,2,3,0,1
0,1,0,1,1,0,2,0,81,79,4,4,0,1
2,0,1,1,1,0,0,0,79,54,2,3,0,1
1,1,1,3,3,0,0,0,298,119,1,2,0,2
1,0,1,0,0,0,0,0,107,137,2,3,0,0
0,0,1,4,2,1,0,0,277,140,1,1,1,3
0,0,1,1,1,1,0,0,17,207,2,2,0,1
2,0,2,0,0,0,0,0,43,64,1,2,1,2
1,0,1,0,0,0,0,0,76,170,3,4,0,0
0,0,2,3,3,0,0,0,334,79,1,1,0,2
1,0,1,1,1,0,0,0,21,149,3,4,0,1
0,0,1,3,2,1,0,0,162,56,2,3,1,2
0,0,0,0,0,0,0,0,67,149,4,4,0,0
0,0,1,5,3,0,0,0,203,106,1,2,0,2
3,0,1,2,1,0,0,0,178,42,1,2,0,2
0,0,3,1,0,0,0,0,100,72,2,2,0,1
2,0,0,1,0,0,0,0,51,107,3,4,1,1
2,0,0,2,1,0,0,0,52,213,4,4,0,1
0,0,4,1,1,2,0,0,109,172,2,3,0,3
0,0,0,2,2,2,0,0,47,169,1,2,0,2
1,0,0,4,2,0,1,1,73,64,3,2,0,2
2,0,2,1,0,0,0,0,58,159,2,4,0,2
1,0,0,0,0,0,0,0,102,194,3,4,0,0
0,0,1,1,1,0,0,0,121,28,1,1,0,0
2,0,3,1,1,0,0,0,169,251,1,2,0,2
0,0,3,1,0,0,0,0,119,217,3,4,0,1
0,0,3,0,0,0,0,0,76,94,3,4,0,1
0,0,3,0,0,0,0,0,334,61,1,2,0,1
0,0,1,1,0,0,0,0,77,41,1,2,0,0
0,0,3,3,3,0,0,0,308,48,1,2,0,2
2,0,3,1,0,0,0,0,159,32,1,3,0,2
1,0,3,3,2,2,0,0,11,74,1,1,0,4
1,0,2,0,0,0,0,0,15,276,4,4,0,1
0,0,2,0,0,0,0,0,77,153,2,3,0,0
2,0,1,0,0,0,0,0,132,177,2,3,0,1
0,0,3,0,0,0,0,0,27,202,3,2,0,1
0,2,0,2,2,0,0,0,83,132,3,4,0,1
0,0,0,3,3,0,0,0,37,108,2,3,1,1
0,0,1,1,1,0,0,0,48,177,3,2,0,0
1,0,2,0,0,0,0,0,89,298,3,4,0,1
0,0,3,1,0,0,0,0,128,133,2,3,0,1
1,0,2,1,1,0,0,1,23,238,3,4,0,1
2,0,2,0,0,0,0,0,271,45,1,1,0,1
1,0,1,0,0,2,0,0,302,147,1,1,0,2
2,0,0,1,1,0,0,0,11,215,2,3,0,1
3,0,2,2,2,1,0,0,338,98,1,2,0,4
0,0,1,0,0,0,0,0,71,131,1,3,0,0
1,0,1,3,3,2,0,0,29,83,1,1,0,4
2,0,1,4,2,0,0,0,69,198,4,4,0,2
0,0,1,0,0,0,0,0,73,240,2,3,0,0
1,0,2,2,1,0,0,0,58,133,3,4,0,1
1,0,4,4,3,0,0,0,18,111,1,1,3,4
1,0,1,1,0,0,0,0,39,140,1,2,2,1
1,0,1,3,3,0,0,0,324,106,1,1,0,2
1,0,3,2,1,0,0,0,43,200,3,4,0,2
0,0,0,0,0,0,0,0,309,107,1,2,0,0
0,0,4,0,0,0,0,0,164,213,2,1,0,1
0,0,2,1,0,0,0,0,30,180,1,1,1,1
0,0,1,0,0,0,0,0,155,119,1,3,0,0
0,0,3,0,0,0,0,0,207,88,1,1,0,1
0,0,0,1,1,0,0,0,259,93,1,1,1,0
1,0,1,0,0,2,0,0,35,176,2,2,0,2
0,0,3,2,1,0,0,0,46,73,2,2,0,1
1,0,1,0,0,0,0,0,72,160,3,3,1,1
1,0,1,1,1,0,0,0,53,242,3,3,0,1
3,0,0,2,2,0,0,0,68,103,1,2,0,2
1,0,2,1,1,0,0,0,164,147,2,3,0,1
1,0,1,1,1,0,0,0,32,42,1,1,0,1
1,0,1,0,0,0,0,0,34,66,1,2,0,0
1,0,1,5,3,0,0,0,60,131,2,3,0,2
1,0,2,3,3,2,0,0,353,58,1,1,0,4
0,0,0,3,3,0,0,0,14,216,3,2,1,1
1,0,2,1,1,0,0,0,80,119,2,2,1,1
1,0,0,0,0,0,0,0,37,83,2,2,0,0
3,0,3,1,1,0,0,0,91,121,1,1,0,2
0,0,1,0,0,0,0,0,140,39,1,1,0,0
2,0,2,1,1,0,0,0,206,70,1,2,3,3
1,0,2,3,3,1,0,0,90,90,2,1,0,3
0,0,0,1,1,0,0,0,85,71,2,3,0,0
2,1,1,1,1,0,0,0,301,25,1,3,0,1
2,0,4,4,3,0,0,0,315,102,1,3,0,4
1,0,4,2,2,0,0,1,164,63,1,3,0,3
0,0,2,0,0,0,0,0,46,152,2,2,0,0
1,0,3,0,0,0,0,0,67,67,1,1,0,1
0,0,1,2,2,0,0,0,90,87,3,2,0,1
0,0,2,5,3,0,0,0,153,104,1,2,0,2
2,0,1,0,0,0,0,0,22,95,1,3,0,1
1,0,2,1,1,1,0,0,319,50,1,1,3,3
1,0,4,3,3,0,0,0,96,20,1,2,0,3
0,0,0,0,0,0,0,0,34,75,3,4,0,0
2,0,3,0,0,1,0,1,262,112,1,2,0,3
2,0,1,2,2,1,0,0,52,55,1,2,0,3
1,0,1,0,0,0,0,0,43,126,4,4,0,0
0,0,1,2,1,0,0,0,169,122,2,2,0,1
0,0,0,4,2,0,0,0,132,74,1,1,0,1
1,1,2,1,1,0,0,0,270,84,1,3,0,1
1,0,0,0,0,0,0,0,100,171,3,3,0,0
1,0,1,0,0,0,0,0,34,142,2,3,0,0
1,0,3,2,2,0,0,0,175,43,1,1,0,2
2,0,1,0,0,0,0,0,38,174,3,2,0,1
1,0,4,1,1,2,0,0,275,142,1,1,0,4
1,0,4,2,2,2,0,0,128,98,1,2,0,4
2,0,1,0,0,0,0,0,14,216,3,3,0,1
0,0,2,1,1,2,0,0,12,27,1,1,0,3
1,0,4,1,0,0,0,0,78,196,2,2,0,2
1,0,1,0,0,0,0,0,23,221,3,4,0,0
2,0,0,1,1,0,0,0,13,145,3,4,0,1
2,0,1,3,3,0,0,0,229,115,1,2,1,3
2,0,1,0,0,2,0,0,358,162,1,3,1,3
2,0,1,1,1,0,0,0,102,149,3,3,0,1
0,0,2,0,0,0,0,0,148,119,2,2,0,0
0,0,0,1,1,0,0,0,21,136,4,4,0,0
3,0,1,1,1,0,0,0,191,46,1,1,0,2
0,0,1,1,1,0,0,0,95,199,3,4,0,0
0,0,3,1,0,1,0,0,245,61,1,1,0,2
0,0,2,2,2,0,0,0,78,126,3,4,0,1
1,0,1,0,0,0,0,0,157,24,2,3,0,0
0,0,2,1,1,0,0,0,354,79,1,2,0,1
0,0,2,1,1,0,0,0,163,168,2,3,0,1
1,0,3,1,1,0,0,0,95,57,1,2,0,1
2,1,1,2,2,0,0,0,17,192,2,3,1,2
0,0,2,0,0,0,0,0,313,53,1,1,0,0
2,0,2,4,3,0,0,0,37,98,2,3,0,3
0,0,2,0,0,1,0,0,118,190,3,4,0,1
0,0,3,1,0,0,0,0,101,187,3,4,0,1
1,0,1,0,0,0,0,0,82,198,3,2,0,0
3,0,2,1,1,0,0,0,148,26,1,2,0,2
1,0,0,1,1,0,0,0,37,202,3,4,0,0
1,0,3,2,1,0,0,0,15,42,1,2,0,2
0,0,0,0,0,0,0,0,349,174,1,1,0,0
1,0,2,1,1,2,0,0,181,109,1,3,0,3
0,1,1,4,3,2,0,0,217,176,1,2,0,4
0,0,1,4,3,0,0,0,164,106,1,3,0,2
0,0,0,1,1,2,0,0,181,23,1,2,0,2
1,0,1,1,1,0,0,0,29,157,2,3,0,1
2,0,4,0,0,0,0,0,164,208,2,2,0,2
2,2,1,3,2,0,1,0,165,151,1,2,0,3
1,0,2,1,1,0,0,0,57,236,3,4,0,1
0,0,0,3,3,0,0,0,65,217,3,3,0,1
1,0,3,1,1,0,0,0,211,68,1,3,0,1
0,0,1,1,0,0,0,0,35,136,4,4,0,0
0,1,1,1,1,0,0,0,321,71,1,2,0,0
0,0,2,1,0,0,0,0,114,204,3,4,0,1
0,0,2,0,0,0,0,0,84,184,4,4,0,0
0,0,1,3,3,0,0,0,19,199,2,3,0,1
2,0,2,0,0,0,0,0,15,203,2,3,0,1
1,0,1,1,1,0,0,0,191,49,1,1,0,1
1,0,3,5,3,1,0,2,162,109,2,3,0,5
0,0,2,4,3,0,1,0,70,52,1,1,0,2
1,0,1,1,1,1,0,0,84,120,2,3,0,2
1,0,1,0,0,0,0,0,345,39,1,1,0,0
2,0,1,1,1,0,0,0,58,52,2,1,0,1
0,0,3,2,2,0,0,0,87,257,2,3,0,1
1,0,1,3,3,0,0,0,96,67,1,2,0,2
2,0,1,0,0,0,0,0,44,185,3,3,0,1
1,0,0,1,0,2,0,0,91,203,3,3,0,2
1,0,1,1,1,0,0,0,81,185,3,4,0,1
0,1,3,3,3,0,1,0,241,55,1,1,0,2
1,0,2,2,2,1,0,0,53,107,2,3,1,3
1,1,1,1,1,0,0,0,43,223,3,3,0,1
1,0,0,0,0,0,0,0,62,93,2,3,0,0
1,0,3,0,0,0,0,0,178,169,2,3,0,1
2,0,1,3,3,0,0,0,112,184,2,3,0,2
0,0,1,1,0,0,0,0,15,154,4,4,0,0
3,0,3,3,3,0,0,0,132,114,1,2,2,4
2,0,1,3,2,0,0,0,44,174,2,3,0,2
2,0,1,1,1,0,0,0,37,137,2,3,0,1
3,0,4,1,0,0,0,0,206,52,1,1,2,3
1,0,1,5,3,0,0,0,347,27,1,2,0,2
3,0,3,0,0,1,0,1,31,154,1,1,0,3
1,1,0,2,1,0,0,1,261,84,1,1,0,1
1,0,2,2,2,0,0,0,41,40,1,1,0,2
2,0,2,2,1,2,0,0,85,110,1,2,0,4
2,0,0,1,1,0,0,0,357,149,1,2,0,1
1,0,0,3,3,0,0,0,88,266,2,3,0,1
0,0,4,1,1,0,0,0,20,140,2,3,0,1
1,0,1,1,1,0,0,0,82,147,3,4,0,1
0,0,1,4,3,0,0,0,184,24,1,2,0,2
0,0,1,0,0,0,0,1,41,223,4,4,0,0
2,0,1,1,1,0,1,0,281,55,1,2,1,2
1,0,1,1,0,0,0,0,51,128,3,3,0,1
2,0,2,2,2,1,0,0,113,251,3,3,0,3
2,0,1,3,2,0,0,0,118,126,2,3,0,2
1,0,4,4,3,0,0,0,235,74,1,2,0,3
0,0,0,1,1,0,0,0,97,116,3,4,0,0
2,0,1,1,1,0,0,0,163,211,2,3,0,1
2,2,3,5,3,2,0,0,47,185,1,1,0,6
0,0,2,3,3,0,0,0,81,241,3,3,0,2
1,0,1,0,0,0,0,0,118,81,3,4,0,0
1,0,2,3,3,1,0,0,42,47,1,1,0,3
3,0,2,1,0,1,0,0,111,114,1,2,0,3
0,0,3,3,2,0,0,0,271,112,1,3,0,2
0,0,3,2,1,0,0,0,70,137,1,1,0,1
2,0,1,0,0,0,0,0,114,225,2,3,0,1
0,0,1,0,0,0,0,0,113,185,3,3,0,0
0,0,1,1,1,2,0,0,136,124,2,3,0,2
1,0,0,0,0,0,0,0,66,168,3,3,0,0
0,0,1,0,0,0,0,0,73,163,4,4,0,0
0,0,4,3,3,2,0,2,73,97,1,2,0,5
1,0,3,1,1,0,0,0,40,166,2,3,0,1
1,0,4,0,0,1,0,0,334,167,1,1,0,2
0,0,2,0,0,2,0,0,81,134,3,3,0,2
3,0,1,1,1,0,0,0,114,59,1,2,0,2
0,0,1,0,0,0,0,0,60,266,4,4,0,0
1,0,3,1,1,0,0,0,14,149,3,4,0,1
1,0,4,2,2,0,1,0,26,133,1,1,0,3
0,0,2,0,0,2,1,2,23,42,1,1,0,3
2,0,3,0,0,0,0,0,37,175,1,1,2,2
1,0,2,3,3,1,0,0,99,62,1,1,0,3
2,1,1,2,1,0,0,0,34,152,3,3,0,2
0,0,1,2,2,2,0,0,140,170,2,3,0,3
1,0,3,4,3,0,0,0,298,146,1,3,0,3
2,0,2,0,0,0,0,0,66,166,2,2,0,1
1,0,3,0,0,0,0,0,67,200,1,1,0,1
1,0,3,1,0,0,0,0,100,156,2,2,0,1
0,0,1,2,2,0,0,0,12,160,4,4,0,1
0,0,1,1,0,0,0,0,68,213,4,4,0,0
2,0,1,0,0,2,0,0,120,121,2,3,0,3
1,0,2,3,3,0,0,0,227,58,1,1,0,2
0,0,0,5,3,0,0,0,69,257,3,4,0,2
2,0,4,0,0,0,0,2,346,94,1,2,0,2
2,0,1,0,0,0,0,0,101,56,2,3,0,1
1,0,0,0,0,0,0,0,300,125,1,2,0,0
0,0,2,1,1,1,0,0,163,123,1,2,0,2
3,0,1,3,3,0,0,0,28,131,1,2,0,3
2,0,3,1,1,2,2,0,36,127,1,2,0,4
0,0,1,4,3,0,0,0,78,130,1,1,0,2
1,0,0,1,1,0,0,0,85,109,3,3,0,0
0,0,3,1,0,0,1,0,58,100,2,1,1,1
2,0,1,3,2,0,0,0,155,121,2,3,0,2
1,0,1,2,2,0,1,0,87,133,2,3,0,1
0,0,1,1,0,0,0,0,52,122,2,3,0,0
0,0,1,3,3,0,0,0,241,257,1,2,0,1
0,0,1,2,2,0,0,0,88,182,2,2,0,1
0,0,1,2,2,1,0,0,147,54,1,3,1,2
3,0,1,4,3,0,0,0,163,138,1,2,0,3
1,0,3,0,0,0,0,0,119,118,1,1,0,1
1,0,3,1,1,0,0,0,14,199,3,4,0,1
1,0,3,0,0,0,0,0,177,116,1,1,0,1
0,0,2,1,0,0,0,0,119,206,3,4,0,1
1,0,1,0,0,0,0,0,164,115,1,2,0,0
1,0,1,2,2,2,0,1,256,50,1,2,0,4
1,0,0,0,0,0,0,0,23,110,3,4,1,0
1,0,0,1,1,0,0,0,62,145,2,2,0,0
0,0,0,0,0,0,0,0,166,151,2,3,0,0
2,0,4,0,0,0,0,0,150,95,2,2,0,2
1,0,2,1,1,0,0,0,98,66,2,4,0,1
2,0,3,1,1,0,0,0,303,222,1,3,0,2
0,0,4,1,1,0,0,0,111,88,1,2,3,2
2,0,1,0,0,2,0,2,321,14,1,1,1,4
2,0,4,0,0,0,0,0,54,79,1,2,0,2
1,0,4,3,2,0,0,0,297,176,1,2,0,3
1,0,1,1,1,0,0,0,69,133,1,2,0,1
1,0,2,2,2,2,1,0,19,129,2,3,0,4
3,0,3,1,0,0,0,0,310,57,1,2,0,2
1,0,4,3,2,0,0,0,44,75,2,2,0,3
2,0,4,0,0,0,0,0,110,231,2,3,0,2
2,0,2,2,2,1,0,0,65,143,1,3,0,3
2,0,0,0,0,0,0,0,89,166,2,3,0,1
1,0,1,3,2,0,0,0,119,193,2,3,0,2
1,0,0,5,3,0,1,0,316,93,1,2,0,2
0,0,2,0,0,1,1,0,72,32,1,2,0,1
1,0,1,1,1,0,0,0,46,138,3,4,0,1
1,0,2,5,3,0,0,0,269,61,1,2,0,3
1,0,2,1,1,0,0,0,34,173,3,3,0,1
2,0,1,3,3,0,0,0,45,185,3,4,0,2
0,0,2,1,1,0,0,0,65,129,2,4,0,1
1,0,2,1,0,0,0,0,91,138,2,3,0,1
1,0,1,0,0,0,0,0,60,105,2,2,0,0
0,0,0,0,0,0,0,0,31,85,3,3,0,0
0,0,1,1,1,0,0,0,87,97,3,3,0,0
0,0,0,0,0,0,0,0,35,162,3,3,0,0
0,0,2,0,0,0,0,0,278,278,1,2,0,0
1,0,2,0,0,0,0,0,336,161,1,2,0,1
0,0,2,3,3,1,0,0,63,157,1,1,0,3
2,0,2,0,0,0,0,0,65,124,1,2,0,1
2,0,2,0,0,3,1,0,52,93,1,1,0,4
1,0,1,0,0,0,0,0,119,129,3,3,0,0
0,0,0,0,0,0,0,0,22,116,3,4,0,0
2,0,1,1,0,1,0,0,54,82,1,1,0,2
1,0,2,1,0,0,0,0,318,89,1,1,0,1
1,0,0,0,0,0,0,0,45,100,3,3,0,0
2,0,1,2,2,0,0,0,55,189,2,2,0,2
1,0,1,1,1,0,0,0,117,77,2,3,0,1
2,0,2,1,1,0,0,0,110,123,2,1,0,2
0,0,1,1,0,0,0,0,54,32,2,1,0,0
1,0,2,1,1,1,0,2,156,232,2,3,0,3
2,0,0,1,0,0,0,0,86,120,2,3,0,1
0,0,2,0,0,0,0,0,56,183,3,4,0,0
1,0,2,0,0,0,0,0,93,163,3,4,2,1
2,0,2,5,3,0,0,0,239,73,1,2,1,4
1,0,4,0,0,0,0,0,86,158,2,3,0,1
1,0,1,2,2,0,0,0,40,132,1,2,0,1
0,0,1,2,1,0,0,0,60,154,2,3,1,1
1,0,1,1,0,0,0,0,13,115,1,2,0,1
0,0,1,2,1,0,0,0,113,243,3,4,0,1
1,0,0,1,0,0,0,0,154,120,2,3,0,0
0,0,1,3,2,0,0,0,115,61,1,1,0,1
1,0,0,0,0,0,0,0,70,215,2,3,0,0
2,0,0,0,0,0,0,0,79,159,3,4,0,1
0,0,1,1,1,0,0,0,44,171,3,4,0,0
1,0,2,0,0,0,0,0,56,201,2,3,0,1
1,0,1,3,3,0,0,0,124,217,1,1,0,2
0,0,0,3,3,1,0,0,75,286,4,4,0,2
1,0,1,0,0,0,0,0,90,148,3,4,0,0
1,0,1,0,0,0,0,0,126,124,2,3,0,0
0,0,0,0,0,0,0,0,148,271,2,2,0,0
0,0,1,0,0,0,0,0,17,266,2,2,0,0
0,0,0,0,0,0,0,0,171,120,2,3,1,0
0,0,3,0,0,0,0,0,59,38,1,1,0,1
0,0,1,1,1,0,0,0,101,77,2,3,0,0
1,0,3,1,1,0,0,0,188,61,1,2,0,1
0,0,2,4,3,0,0,0,137,139,2,1,1,2
0,0,1,2,1,1,0,0,13,207,3,4,0,2
3,0,0,1,1,0,0,0,82,182,1,2,0,1
0,0,1,2,1,2,0,0,149,88,1,1,0,3
1,2,3,4,2,0,0,0,307,94,1,1,0,3
0,0,0,2,2,0,0,0,43,149,4,4,0,0
0,0,4,0,0,0,0,0,132,48,1,1,0,1
0,0,3,1,1,0,0,0,34,179,2,3,0,1
2,0,1,0,0,0,0,0,112,60,3,4,0,1
1,0,4,1,1,1,0,0,240,83,1,1,1,3
2,0,2,0,0,0,0,0,20,210,2,2,0,1
2,0,4,2,2,0,0,0,154,93,2,3,0,3
0,1,1,0,0,1,0,0,194,75,1,2,0,1
1,0,2,0,0,0,0,0,59,142,3,4,0,1
1,0,0,0,0,1,1,0,107,14,1,2,0,1
1,0,1,2,2,0,0,0,36,136,3,3,0,1
0,0,1,0,0,0,0,0,25,159,2,2,2,1
1,0,2,2,1,0,0,0,99,204,3,4,0,1
0,0,0,0,0,0,0,0,66,119,4,4,1,0
1,0,1,2,1,0,1,0,144,233,2,3,0,1
1,0,2,2,2,0,0,0,52,145,2,2,0,2
3,0,1,3,3,1,1,0,46,44,1,2,0,4
0,0,0,1,1,0,0,0,79,198,3,3,0,0
2,0,2,3,3,1,0,0,58,80,1,1,0,4
1,0,1,1,1,0,0,0,81,261,3,3,0,1
0,0,4,1,0,0,0,0,236,93,1,2,0,1
2,0,2,1,1,0,0,0,31,175,2,2,0,2
0,0,1,2,1,0,0,1,277,57,1,2,1,1
0,0,1,1,1,0,0,0,51,167,4,4,0,0
1,0,1,1,0,0,0,0,134,196,1,1,0,1
0,0,1,5,3,2,0,0,38,205,3,2,0,4
2,0,4,0,0,0,0,0,207,43,1,1,0,2
3,0,2,2,2,0,0,0,106,134,1,1,0,3
0,0,3,1,0,0,0,0,13,83,1,2,0,1
2,0,0,3,3,0,0,0,57,270,4,4,0,2
2,0,1,2,2,0,0,0,56,214,2,4,1,2
0,0,3,4,3,1,0,1,60,97,1,2,0,3
0,0,1,0,0,0,0,0,337,89,1,2,0,0
